Building,Address
Annenberg Communication Center,3620 Walnut St. 
Anatomy-Chemistry Building,3640 Hamilton Walk
Annenberg Public Policy Center,202 S. 36th St.
Annenberg School of Communication,3680 Walnut St.
Fisher Bennett Hall,3340 Walnut St.
Bio-Medical Research Building,421 Curie Blvd
Bookstore,3601 Walnut St
Charles Addams Fine Arts Hall,200 South 36th St
Chemisty Labs,231 South 34th St.
David Rittenhouse Lab,209 South 33rd St
Dubois House,3900 Walnut St
English House,3465 Sansom St
Franklin Building,3451 Walnut St
Golkin Hall,3400 Chestnut St.
Harnwell ,3820 Locust Walk
Rodin,3901 Locust Walk
Harrison,3910 Irving St
Hill,3333 Walnut St
Houston Hall,2417 Spruce St
Huntsman Hall,3730 Walnut St
Inn at Penn,3650 Sansom St.
King's Court,3465 Sansom St
LRSM,3231 Walnut St
Law School Library,3443 Sansom St
Leidy Lab,3740 Hamilton Walk
Levine Hal,3330 Walnut St
Mayer,3817 Spruce St
McNeil Building,3718 Locust Walk
Meyerson Hall,210 South 34th st.
Moore,200 S. 33rd St
Music Building,201 S. 34th St.
Hillel,215 S. 39th St.
Singh Center,3205 Walnut St
Skirkanich,210 South 33rd
Steinberg Hall-Dietrich Hall,3620 Locust Walk
Stiteler Hall,208 S. 37th St
Stouffer,3702 Sprice St.
Towne,220 S. 33rd St
Vagelos Lab ,3340 Smith Walk
Van Pelt House,3901 Locust Walk
Van Pelt Library,3421 Woodland Walk
Vance Hall,3733 Spruce St.
Williams Hall,255 South 36th St
Ware,3700 Spruce St
Fisher Hassenfeld,3700 Spruce St
Riepe,3700 Spruce St